Ãỷ³ặ	ItemGenre	DetailType	ParticularType	ả¯ằưẻÄẳỵÃỷ	ảễểƯẻùẳỵậữềý	¿ớảẩ	áòảẩ	ậàÃữẻÄìệ	ẻồééấụéễ	ẳÛáủ	àẩẳả	ấầãủàỵãÅ	ằự´Ăấụéễ1ÀàéÍ	ằự´Ăấụéễ1ìợéĂệà	ằự´Ăấụéễ1ìợ´úệà	ằự´Ăấụéễ2ÀàéÍ	ằự´Ăấụéễ2ìợéĂệà	ằự´Ăấụéễ2ìợ´úệà	ằự´Ăấụéễ3ÀàéÍ	ằự´Ăấụéễ3ìợéĂệà	ằự´Ăấụéễ3ìợ´úệà	ằự´Ăấụéễ4ÀàéÍ	ằự´Ăấụéễ4ìợéĂệà	ằự´Ăấụéễ4ìợ´úệà	ằự´Ăấụéễ5ÀàéÍ	ằự´Ăấụéễ5ìợéĂệà	ằự´Ăấụéễ5ìợ´úệà	ằự´Ăấụéễ6ÀàéÍ	ằự´Ăấụéễ6ìợéĂệà	ằự´Ăấụéễ6ìợ´úệà	ằự´Ăấụéễ7ÀàéÍ	ằự´Ăấụéễ7ìợéĂệà	ằự´Ăấụéễ7ìợ´úệà	éốầúấụéễ1ÀàéÍ	éốầúấụéễ1ấýệà	éốầúấụéễ2ÀàéÍ	éốầúấụéễ2ấýệà	éốầúấụéễ3ÀàéÍ	éốầúấụéễ3ấýệà	éốầúấụéễ4ÀàéÍ	éốầúấụéễ4ấýệà	éốầúấụéễ5ÀàéÍ	éốầúấụéễ5ấýệà	éốầúấụéễ6ÀàéÍ	éốầúấụéễ6ấýệà	ÄĐãăấụéễậữềý1	ÄĐãăấụéễậữềý2	ÄĐãăấụéễậữềý3	ÄĐãăấụéễậữềý4	ÄĐãăấụéễậữềý5	ÄĐãăấụéễậữềý6	ậựễÚèìì°	Àâếạèìì°	Àâếạèìì°éũºÅ	Àâếạèìì°ềỵ²ỉấụéễ1	Àâếạèìì°ềỵ²ỉấụéễ2	¿ẫẩÛÁảấụéễấýÁ¿	¿ẫẩÛÁảẻặáệặãệấ			
Minh Phượng Cực Lạc Cà Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth28.spr	22	2	3	Bộ trang bị Thiếu Lâm côn pháp cấp Minh Phượng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									960	938	978	1181	2725	3524	268	209	6	1431	2820	2	9			
Minh Phượng Cực Lạc Tăng Côn	0	0	2	\spr\item\equip\closeweapon\obj-spear25.spr	11	1	4	Bộ trang bị Thiếu Lâm côn pháp cấp Minh Phượng(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	120	39	0									2715	858	1082	1021	1338	3524	268	209	7	1431	130	2	9			
Minh Phượng Cực Lạc Tăng Hài	0	5	0	\spr\item\equip\boots\obj-shoes28.spr	26	2	2	Bộ trang bị Thiếu Lâm côn pháp cấp Minh Phượng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									960	898	978	1201	1261	1301	268	209	8	1431	1404	2	9			
Minh Phượng Cực Lạc Yêu Trụy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bộ trang bị Thiếu Lâm côn pháp cấp Minh Phượng(9)	1	99999	10	0																						36	120	39	0									959	878	979	1021	1338	1301	268	209	9	1629	1279	2	9			
Minh Phượng Cực Lạc Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiếu Lâm côn pháp cấp Minh Phượng(10)	3	99999	10	0																						36	120	39	0									959	918	979	1221	1338	1301	268	209	10	130		2	9			
Minh Phượng Hư Không Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck27.spr	36	2	1	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(1)	4	99999	10	0																						36	120	39	0									959	938	978	1181	1001	1301	269	210	1	1627	1279	2	9			
Minh Phượng Hư Không Tăng Mạo	0	7	0	\spr\item\equip\cap\obj-ma-cap28.spr	28	2	2	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									960	858	979	1021	1338	3524	269	210	2	1431	1279	2	9			
Minh Phượng Hư Không Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(3)	2	99999	10	0																						36	120	39	0									959	898	978	1201	1338	1301	269	210	3	130		2	9			
Minh Phượng Hư Không Hộ Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle28.spr	34	1	2	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	0									960	878	979	1021	1338	1301	269	210	4	1431	1405	2	9			
Minh Phượng Hư Không Yêu Đái	0	6	0	\spr\item\equip\sash\obj-sash28.spr	33	2	1	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									960	918	978	1221	1338	1301	269	210	5	1630	1279	2	9			
Minh Phượng Hư Không Cà Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth28.spr	22	2	3	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									960	938	978	1181	2725	3524	269	210	6	1431	2821	2	9			
Minh Phượng Hư Không Giới Đao	0	0	1	\spr\item\equip\closeweapon\obj-blade27.spr	10	1	4	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	0									2715	858	1082	1021	1338	3524	269	210	7	1431	130	2	9			
Minh Phượng Hư Không Tăng Hài	0	5	1	\spr\item\equip\boots\obj-shoes28.spr	26	2	2	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	0									960	898	978	1201	1261	1301	269	210	8	1431	1279	2	9			
Minh Phượng Hư Không Yêu Trụy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(9)	1	99999	10	0																						36	120	39	0									959	878	979	1021	1338	1301	269	210	9	1631	1279	2	9			
Minh Phượng Hư Không Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiếu Lâm đao pháp cấp Minh Phượng(10)	3	99999	10	0																						36	120	39	0									959	918	979	1221	1338	1301	269	210	10	130		2	9			
Minh Phượng Chiến Thần Liên	0	4	1	\spr\item\equip\nick\obj-neck27.spr	36	2	1	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(1)	0	99999	10	0																						36	120	39	1									959	858	978	1021	1001	1301	270	211	1	1632	1279	2	9			
Minh Phượng Chiến Thần Khôi	0	7	4	\spr\item\equip\cap\obj-ma-cap29.spr	31	2	2	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									960	898	979	1201	1338	3529	270	211	2	1440	2823	2	9			
Minh Phượng Chiến Thần Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(3)	1	99999	10	0																						36	120	39	1									959	878	978	1021	1338	1301	270	211	3	130		2	9			
Minh Phượng Chiến Thần Thúc Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle28.spr	34	1	2	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									960	918	979	1221	1338	1301	270	211	4	1440	1279	2	9			
Minh Phượng Chiến Thần Yêu Đái	0	6	1	\spr\item\equip\sash\obj-sash28.spr	33	2	1	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									960	938	978	1181	1338	1301	270	211	5	1633	1279	2	9			
Minh Phượng Chiến Thần Khải	0	2	4	\spr\item\equip\armor\obj-ma-cloth29.spr	23	2	3	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									960	858	978	1021	2725	3529	270	211	6	1440	1406	2	9			
Minh Phượng Chiến Thần Chùy	0	0	4	\spr\item\equip\closeweapon\obj-adha25.spr	13	2	2	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	120	39	1									1281	898	1082	1201	1323	3529	270	211	7	1440	130	2	9			
Minh Phượng Chiến Thần Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes29.spr	26	2	2	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									960	878	978	1021	1261	1301	270	211	8	1440	1279	2	9			
Minh Phượng Chiến Thần Qua Chùy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(9)	3	99999	10	0																						36	120	39	1									959	918	979	1221	1338	1301	270	211	9	1634	1279	2	9			
Minh Phượng Chiến Thần Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiên Vương chùy pháp cấp Minh Phượng(10)	4	99999	10	0																						36	120	39	1									959	938	979	1181	1338	1301	270	211	10	130		2	9			
Minh Phượng Anh Hùng Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck27.spr	36	2	1	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(1)	0	99999	10	0																						36	120	39	1									959	858	978	1021	1001	1301	271	212	1	1636	1279	2	9			
Minh Phượng Anh Hùng Khôi	0	7	4	\spr\item\equip\cap\obj-ma-cap29.spr	31	2	2	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									960	898	979	1201	1338	3529	271	212	2	1440	1279	2	9			
Minh Phượng Anh Hùng Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(3)	1	99999	10	0																						36	120	39	1									959	878	978	1021	1338	1301	271	212	3	130		2	9			
Minh Phượng Anh Hùng Thúc Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle28.spr	34	1	2	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									960	918	979	1221	1338	1301	271	212	4	1440	1279	2	9			
Minh Phượng Anh Hùng Yêu Đái	0	6	1	\spr\item\equip\sash\obj-sash28.spr	33	2	1	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									960	938	978	1181	1338	1301	271	212	5	1637	1279	2	9			
Minh Phượng Anh Hùng Khải	0	2	4	\spr\item\equip\armor\obj-ma-cloth29.spr	23	2	3	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									960	858	978	1021	2725	3529	271	212	6	1440	2824	2	9			
Minh Phượng Anh Hùng Thương	0	0	3	\spr\item\equip\closeweapon\obj-staff25.spr	12	1	4	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	1									1281	898	1082	1201	1323	3529	271	212	7	1440	130	2	9			
Minh Phượng Anh Hùng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes29.spr	26	2	2	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									960	878	978	1021	1261	1301	271	212	8	1440	1407	2	9			
Minh Phượng Anh Hùng Yêu Trụy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(9)	3	99999	10	0																						36	120	39	1									959	918	979	1221	1338	1301	271	212	9	1638	1279	2	9			
Minh Phượng Anh Hùng Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiên Vương thương pháp cấp Minh Phượng(10)	4	99999	10	0																						36	120	39	1									959	938	979	1181	1338	1301	271	212	10	130		2	9			
Minh Phượng Bá Vương Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck27.spr	36	2	1	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(1)	0	99999	10	0																						36	120	39	1									959	858	978	1021	1001	1301	272	213	1	1640	1279	2	9			
Minh Phượng Bá Vương Khôi	0	7	4	\spr\item\equip\cap\obj-ma-cap29.spr	31	2	2	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									960	898	979	1201	1338	3529	272	213	2	1440	1408	2	9			
Minh Phượng Bá Vương Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(3)	1	99999	10	0																						36	120	39	1									959	878	978	1021	1338	1301	272	213	3	130		2	9			
Minh Phượng Bá Vương Thúc Uyển	0	8	1	\spr\item\equip\bangle\obj-bangle28.spr	34	1	2	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									960	918	979	1221	1338	1301	272	213	4	1440	1279	2	9			
Minh Phượng Bá Vương Yêu Đái	0	6	1	\spr\item\equip\sash\obj-sash28.spr	33	2	1	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									960	938	978	1181	1338	1301	272	213	5	1641	1279	2	9			
Minh Phượng Bá Vương Khải	0	2	4	\spr\item\equip\armor\obj-ma-cloth29.spr	23	2	3	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									960	858	978	1021	2725	3529	272	213	6	1440	2822	2	9			
Minh Phượng Bá Vương Bảo Đao	0	0	1	\spr\item\equip\closeweapon\obj-blade28.spr	10	1	4	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	1									1281	898	1082	1201	1323	3529	272	213	7	1440	130	2	9			
Minh Phượng Bá Vương Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes29.spr	26	2	2	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									960	878	978	1021	1261	1301	272	213	8	1440	1279	2	9			
Minh Phượng Bá Vương Yêu Trụy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(9)	3	99999	10	0																						36	120	39	1									959	918	979	1221	1338	1301	272	213	9	1642	1279	2	9			
Minh Phượng Bá Vương Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bộ trang bị Thiên Vương đao pháp cấp Minh Phượng(10)	4	99999	10	0																						36	120	39	1									959	938	979	1181	1338	1301	272	213	10	130		2	9			
Minh Phượng Tản Hoa Châu Liên	0	4	0	\spr\item\equip\nick\obj-neck29.spr	36	2	1	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(1)	4	99999	10	0																						36	120	39	4									959	938	978	1181	1001	1301	273	214	1	1644	1279	2	9			
Minh Phượng Tản Hoa Phát Đái	0	7	10	\spr\item\equip\cap\obj-fm-cap23.spr	28	2	2	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									960	858	979	1021	1338	3544	273	214	2	1431	1279	2	9			
Minh Phượng Tản Hoa Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(3)	2	99999	10	0																						36	120	39	4									959	898	978	1201	1338	1301	273	214	3	130		2	9			
Minh Phượng Tản Hoa Hộ Uyển	0	8	0	\spr\item\equip\bangle\obj-bangle30.spr	35	1	2	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									960	878	979	1021	1338	1301	273	214	4	1431	1409	2	9			
Minh Phượng Tản Hoa Thúc Yêu	0	6	0	\spr\item\equip\sash\obj-sash30.spr	33	2	1	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									960	918	978	1221	1338	1301	273	214	5	1645	1279	2	9			
Minh Phượng Tản Hoa Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth28.spr	24	2	3	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									960	938	978	1181	2725	3544	273	214	6	1431	2825	2	9			
Minh Phượng Tản Hoa Trường Kiếm	0	0	0	\spr\item\equip\closeweapon\obj-sword27.spr	9	1	3	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	4									2715	858	1082	1021	1338	3544	273	214	7	1431	130	2	9			
Minh Phượng Tản Hoa Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes32.spr	27	2	2	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									960	898	978	1201	1261	1301	273	214	8	1431	1279	2	9			
Minh Phượng Tản Hoa Hương Nang	0	9	0	\spr\item\equip\waist\obj-waist30.spr	36	1	2	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(9)	1	99999	10	0																						36	120	39	4									959	878	979	1021	1338	1301	273	214	9	1646	1279	2	9			
Minh Phượng Tản Hoa Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bộ trang bị Nga Mi kiếm pháp cấp Minh Phượng(10)	3	99999	10	0																						36	120	39	4									959	918	979	1221	1338	1301	273	214	10	130		2	9			
Minh Phượng Lăng Tiêu Châu Liên	0	4	0	\spr\item\equip\nick\obj-neck29.spr	36	2	1	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(1)	4	99999	10	0																						36	120	39	4									959	938	978	1181	1001	1301	274	215	1	1648	1279	2	9			
Minh Phượng Lăng Tiêu Phát Đái	0	7	10	\spr\item\equip\cap\obj-fm-cap23.spr	28	2	2	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									960	858	979	1021	1338	3544	274	215	2	1431	1279	2	9			
Minh Phượng Lăng Tiêu Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(3)	2	99999	10	0																						36	120	39	4									959	898	978	1201	1338	1301	274	215	3	130		2	9			
Minh Phượng Lăng Tiêu Hộ Uyển	0	8	0	\spr\item\equip\bangle\obj-bangle30.spr	35	1	2	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									960	878	979	1021	1338	1301	274	215	4	1431	1279	2	9			
Minh Phượng Lăng Tiêu Thúc Yêu	0	6	1	\spr\item\equip\sash\obj-sash30.spr	33	2	1	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									960	918	978	1221	1338	1301	274	215	5	1649	1279	2	9			
Minh Phượng Lăng Tiêu Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth28.spr	24	2	3	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									960	938	978	1181	2725	3544	274	215	6	1431	2826	2	9			
Minh Phượng Lăng Tiêu Triền Thủ	0	0	6	\spr\item\equip\closeweapon\obj-glove06.spr	9	1	2	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	120	39	4									2720	858	1121	1021	1340	3544	274	215	7	1431	130	2	9			
Minh Phượng Lăng Tiêu Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes32.spr	27	2	2	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									960	898	978	1201	1261	1301	274	215	8	1431	1410	2	9			
Minh Phượng Lăng Tiêu Hương Nang	0	9	0	\spr\item\equip\waist\obj-waist30.spr	36	1	2	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(9)	1	99999	10	0																						36	120	39	4									959	878	979	1021	1338	1301	274	215	9	1650	1279	2	9			
Minh Phượng Lăng Tiêu Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bộ trang bị Nga Mi chưởng pháp cấp Minh Phượng(10)	3	99999	10	0																						36	120	39	4									959	918	979	1221	1338	1301	274	215	10	130		2	9			
Minh Phượng Vạn Hoa Châu Liên	0	4	0	\spr\item\equip\nick\obj-neck29.spr	36	2	1	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(1)	4	99999	10	0																						36	120	39	5									959	858	978	1021	1001	1301	275	216	1	1652	1279	2	9			
Minh Phượng Vạn Hoa Trâm	0	7	9	\spr\item\equip\cap\obj-fm-cap24.spr	28	2	2	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	5									960	898	979	1201	1338	3544	275	216	2	1431	1279	2	9			
Minh Phượng Vạn Hoa Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(3)	2	99999	10	0																						36	120	39	5									959	878	978	1021	1338	1301	275	216	3	130		2	9			
Minh Phượng Vạn Hoa Tụ	0	8	0	\spr\item\equip\bangle\obj-bangle30.spr	35	1	2	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	5									960	918	979	1221	1338	1301	275	216	4	1431	1411	2	9			
Minh Phượng Vạn Hoa Thúc Yêu	0	6	0	\spr\item\equip\sash\obj-sash30.spr	32	2	1	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	5									960	938	978	1181	1338	1301	275	216	5	1653	1279	2	9			
Minh Phượng Vạn Hoa Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth29.spr	24	2	3	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	5									960	858	978	1021	2724	3544	275	216	6	1431	2827	2	9			
Minh Phượng Vạn Hoa Bảo Đao	0	0	1	\spr\item\equip\closeweapon\obj-blade29.spr	10	1	4	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	5									2715	898	1082	1201	1338	3544	275	216	7	1431	130	2	9			
Minh Phượng Vạn Hoa Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes33.spr	27	2	2	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	5									960	878	978	1021	1261	1301	275	216	8	1431	1279	2	9			
Minh Phượng Vạn Hoa Hương Nang	0	9	0	\spr\item\equip\waist\obj-waist30.spr	36	1	2	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(9)	1	99999	10	0																						36	120	39	5									959	918	979	1221	1338	1301	275	216	9	1654	1279	2	9			
Minh Phượng Vạn Hoa Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bộ trang bị Thúy Yên đao pháp cấp Minh Phượng(10)	3	99999	10	0																						36	120	39	5									959	938	979	1181	1338	1301	275	216	10	130		2	9			
Minh Phượng Phương Hoa Châu Liên	0	4	0	\spr\item\equip\nick\obj-neck29.spr	36	2	1	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(1)	0	99999	10	0																						36	120	39	5									959	858	978	1021	1001	1301	276	217	1	1656	1279	2	9			
Minh Phượng Phương Hoa Trâm	0	7	9	\spr\item\equip\cap\obj-fm-cap24.spr	28	2	2	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	5									960	898	979	1201	1338	3544	276	217	2	1431	1279	2	9			
Minh Phượng Phương Hoa Thượng Giới	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(3)	1	99999	10	0																						36	120	39	5									959	878	978	1021	1338	1301	276	217	3	130		2	9			
Minh Phượng Phương Hoa Tụ	0	8	0	\spr\item\equip\bangle\obj-bangle30.spr	35	1	2	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	5									960	918	979	1221	1338	1301	276	217	4	1657	1279	2	9			
Minh Phượng Phương Hoa Yêu Đái	0	6	0	\spr\item\equip\sash\obj-sash30.spr	33	2	1	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	5									960	938	978	1181	1338	1301	276	217	5	1431	1412	2	9			
Minh Phượng Phương Hoa Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth29.spr	24	2	3	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	5									960	858	978	1021	2724	3544	276	217	6	1431	2828	2	9			
Minh Phượng Phương Hoa Song Đao	0	0	5	\spr\item\equip\closeweapon\obj-adsd25.spr	14	2	3	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(7)	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	120	39	5									2720	898	1121	1201	1340	3544	276	217	7	1431	130	2	9			
Minh Phượng Phương Hoa Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes33.spr	27	2	2	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	5									960	878	978	1021	1261	1301	276	217	8	1431	1279	2	9			
Minh Phượng Phương Hoa Hương Nang	0	9	0	\spr\item\equip\waist\obj-waist30.spr	36	1	2	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(9)	3	99999	10	0																						36	120	39	5									959	918	979	1221	1338	1301	276	217	9	1658	1279	2	9			
Minh Phượng Phương Hoa Hạ Giới	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bộ trang bị Thúy Yên song đao cấp Minh Phượng(10)	4	99999	10	0																						36	120	39	5									959	938	979	1181	1338	1301	276	217	10	130		2	9			
Minh Phượng Diêm La Hạng Liên	0	4	1	\spr\item\equip\nick\obj-neck28.spr	36	2	1	Bộ trang bị Ngũ Độc chưởng pháp cấp Minh Phượng(1)	0	99999	10	0																						36	120	39	3									959	858	978	1021	1001	1301	277	218	1	1660	1279	2	9			
Minh Phượng Diêm La Phát Đái	0	7	2	\spr\item\equip\cap\obj-ma-cap30.spr	28	2	2	Bộ trang bị Ngũ Độc chưởng pháp cấp Minh Phượng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	3									960	898	979	1201	1338	3534	277	218	2	1431	2829	2	9			
